,stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
0,90,加檬,2021-01-01,-2.9,-7.7,0441,1.2,1456,,,,,,,9.8,290,0049,5.2,270,1632,2.2,1859,270,-19.0,23,0700,27.6,1.4,1020.4,1024.3,0257,1020.3,1416,1022.7,9.6,9.0,,,,,,,,,0.6,0.4,-1.9,-10.6,,,,,,,,,,,,,,
1,90,加檬,2021-01-02,-2.5,-6.3,0754,1.5,1436,,,,,,,8.7,270,0239,5.0,360,0408,2.3,2007,290,-24.8,10,1354,16.8,0.8,1023.1,1026.9,2136,1022.6,0018,1025.4,9.6,9.0,,,,,,,,,0.0,0.0,-1.0,-9.2,,,,,,,,,,,,,,
2,90,加檬,2021-01-03,-2.5,-5.8,0648,0.7,1443,,,,,,,12.5,340,0422,7.3,290,0945,3.6,3126,290,-22.9,14,1447,19.4,1.0,1026.9,1031.2,1033,1026.6,0033,1029.2,9.6,8.2,,,,,,,,,0.8,0.0,-1.3,-6.5,,,,,,,,,,,,,,
3,90,加檬,2021-01-04,-0.9,-4.2,0646,3.2,1445,,,,,,,8.7,290,0501,5.5,290,0508,2.7,2338,290,-19.2,13,1032,25.1,1.5,1026.8,1031.2,0914,1027.1,2111,1029.1,9.6,7.3,,,,,,,,,4.6,3.0,-0.3,-5.1,,,,,,,,,,,,,,
4,90,加檬,2021-01-05,-3.2,-7.3,2337,0.1,1429,,,,,,,12.4,290,0830,5.7,290,0834,2.5,2161,290,-19.7,13,1453,29.6,1.4,1024.2,1027.9,0004,1024.7,1322,1026.4,9.6,8.4,,,,,,,,,1.8,1.5,-1.0,-7.8,,,,,,,,,,,,,,
5,90,加檬,2021-01-06,-5.9,-9.4,0538,-2.2,1345,,,,,,,10.8,290,1034,7.3,290,1052,2.2,1917,290,-23.5,14,1342,26.1,1.0,1018.3,1026.3,0001,1014.0,2400,1020.6,9.6,9.0,,,,,,,,,2.1,0.8,-3.9,-11.9,,,,,,,,,,,,,,
6,90,加檬,2021-01-07,-12.1,-14.8,0803,-5.9,0138,,,,,,0.0,17.6,290,1018,9.0,290,1022,4.2,3648,270,-29.0,17,2251,23.4,0.6,1017.1,1021.7,1851,1013.9,0119,1019.4,9.6,9.0,,,,,,,,,1.5,0.3,-9.2,-14.7,,,,,,,,,,,,,,
7,90,加檬,2021-01-08,-13.0,-16.1,0359,-9.0,1535,,,,,,,11.2,360,1417,5.4,270,2000,2.5,2120,270,-29.4,18,1514,24.1,0.6,1017.0,1021.2,0004,1016.9,1530,1019.3,9.7,9.0,,,,,,,,,1.3,0.0,-9.6,-17.3,,,,,,,,,,,,,,
8,90,加檬,2021-01-09,-10.2,-15.6,0336,-5.3,1527,,,,,,,10.9,290,1416,6.4,290,1422,2.5,2136,290,-25.2,20,1323,28.4,0.8,1017.6,1022.7,2359,1017.8,1402,1019.9,9.7,9.0,,,,,,,,,0.9,0.0,-7.5,-17.0,,,,,,,,,,,,,,
9,90,加檬,2021-01-10,-5.9,-12.6,0315,-1.2,1500,,,,,,,8.6,270,1442,4.8,290,1443,1.9,1680,290,-20.2,24,1123,31.6,1.3,1022.1,1027.4,2340,1022.4,0047,1024.4,9.7,7.5,,,,,,,,,2.6,0.6,-4.4,-14.5,,,,,,,,,,,,,,
10,90,加檬,2021-01-11,-4.4,-9.2,0653,-0.3,1331,,,,,,,7.7,270,2220,4.3,290,2223,1.5,1276,290,-18.9,21,1435,32.4,1.4,1021.8,1028.6,0305,1019.2,2356,1024.1,9.7,0.0,,,,,,,,,6.9,4.9,-4.2,-11.7,,,,,,,,,,,,,,
11,90,加檬,2021-01-12,-0.8,-4.8,0815,2.5,1355,,,,,,,12.9,290,1414,7.2,290,1410,2.7,2359,290,-12.4,22,0018,41.4,2.4,1013.0,1019.2,0001,1012.8,1656,1015.2,9.7,7.7,,,,,,,,,2.8,1.8,-0.7,-7.0,,,,,,,,,,,,,,
12,90,加檬,2021-01-13,5.7,-0.8,0003,9.3,1239,,,,,,,13.5,290,1935,6.4,270,1817,2.4,2054,230,-6.5,30,1244,41.4,3.8,1009.5,1015.2,2355,1007.9,1447,1011.7,9.8,7.9,,,,,,,,,1.5,0.8,4.6,-3.1,,,,,,,,,,,,,,
13,90,加檬,2021-01-14,2.8,-1.2,2100,6.0,0003,,,,,,,10.9,270,0103,5.0,290,0122,1.8,1537,270,-12.7,12,0547,35.5,2.6,1019.5,1023.6,1022,1015.3,0001,1021.7,9.8,8.0,,,,,,,,,2.5,1.0,1.5,-3.2,,,,,,,,,,,,,,
14,90,加檬,2021-01-15,3.2,-1.2,0541,7.8,2043,,,,,,0.0,12.1,270,2036,6.4,270,2111,2.6,2218,360,-2.8,33,2105,68.1,5.1,1011.8,1022.4,0001,1008.2,1605,1014.0,9.8,3.2,,,,,,,,,5.9,3.3,2.3,-2.7,,,,,,,,,,,,,,
15,90,加檬,2021-01-16,-0.2,-5.3,2356,4.8,0002,,,,,,,11.8,290,0112,6.7,270,0103,2.8,2440,270,-14.0,24,1955,35.3,2.2,1018.6,1023.6,2143,1013.3,0001,1020.9,9.8,8.5,,,,,,,,,2.4,0.4,1.6,-8.4,,,,,,,,,,,,,,
16,90,加檬,2021-01-17,-3.9,-7.1,0558,-0.2,1523,,,,,,,10.4,320,0921,5.5,290,0854,2.3,1988,270,-19.5,18,1212,29.6,1.4,1021.0,1025.4,1047,1021.3,2301,1023.3,9.8,9.2,,,,,,,,,1.1,0.6,-2.0,-9.4,,,,,,,,,,,,,,
17,90,加檬,2021-01-18,-2.6,-6.9,2336,2.5,1226,,,,,,0.0,13.1,290,1751,6.5,290,1430,2.6,2217,290,-14.4,19,1753,42.3,2.2,1016.1,1025.9,2354,1012.9,1411,1018.4,9.9,3.7,,,,,,,,,5.0,1.1,-2.7,-9.3,,,,,,,,,,,,,,
18,90,加檬,2021-01-19,-6.1,-10.9,0540,-1.6,1514,,,,,,,4.2,320,0129,2.5,290,0132,1.3,1086,290,-16.4,29,0941,44.3,1.8,1028.4,1032.8,1026,1025.7,0002,1030.7,9.9,9.0,,,,,,,,,1.9,0.0,-2.8,-12.9,,,,,,,,,,,,,,
